Point for server  !  0/0 | 15 - 0
Point for server  !  4/6 6/4 5/2 | 0 - 0
Point for server  !  4/6 6/4 5/2 | 0 - 15
Point for server  !  4/6 6/4 5/2 | 0 - 30
Point for server  !  4/6 6/4 5/2 | 0 - 40
Point for server  !  4/6 6/4 5/3 | 0 - 0
Point for server  !  4/6 6/4 5/3 | 15 - 0
Point for server  !  4/6 6/4 5/3 | 30 - 0
Point for server  !  4/6 6/4 5/3 | 40 - 0
Point for server  !  4/6 6/4 6/3 | 0 - 0
Fin du match !
